Node ID,Title,Path,Path Label,Narrative,Resource 1 Label,Resource 1 URL,Resource 1 Why,Resource 2 Label,Resource 2 URL,Resource 2 Why,Resource 3 Label,Resource 3 URL,Resource 3 Why,Resource 4 Label,Resource 4 URL,Resource 4 Why,Resource 5 Label,Resource 5 URL,Resource 5 Why,Choice 1 Label,Choice 1 To,Choice 2 Label,Choice 2 To,Choice 3 Label,Choice 3 To,Choice 4 Label,Choice 4 To,Choice 5 Label,Choice 5 To
B4,Outcome: Ethical Clarity Through Dialogue,balanced,Balanced / Literacy,"By term's end, students submit reflective essays describing how AI shaped their thinking. Most express gratitude for being trusted to decide responsibly. A few still wish for simpler rules, but many highlight new awareness: ""I learned not just what AI can do — but what I can do with it."" You guide them to name which SUA values their choices advanced: humanism, culture, pacifism, or contributive lives. You sense the course has fostered something deeper than compliance: wisdom linked to mission.",Wageningen University — In AI We Trust?,https://research.wur.nl/en/publications/in-ai-we-trust-ethics-artificial-intelligence-and-reliability,"Human judgment and wisdom must lead, not mere reliance on technology.",,,,,,,,,,,,,Meta‑Reflection,R1,Restart,D1,,,,,,
E1,Rethinking the Assignment,embracing,AI‑Embracing,"You sit at your desk drafting the syllabus for your new upper-level interdisciplinary course. You know students already use AI for brainstorming and translation. Instead of policing that reality, you wonder: ""What if I invited AI use as part of the process itself?"" You rewrite a major paper assignment into an ""AI-Reflection Portfolio,"" where students must document prompts, evaluate AI output, and annotate what they learned about thinking itself. You frame the experiment as cultivating leaders of pacifism who can resolve complex problems with creativity and care.",TEQSA (2025) — Assessment Redesign,https://www.instructure.com/en-au/resources/blog/three-pathways-assessment-reform-what-teqsas-ai-guidance-means-universities,Models for institutional assessment redesign focusing on integrity and authenticity.,EDUCAUSE Review (2025) — The AI Tsunami,https://er.educause.edu/articles/2025/9/the-ai-tsunami-is-here-reinventing-education-for-the-age-of-ai,Shift to human-centered approach fostering collaboration and creativity with AI.,,,,,,,,,,Implement the redesign,E2A,Scale back (switch to Balanced),B2A,,,,,,
E2A,First Iteration,embracing,AI‑Embracing,"Students experiment with AI during early drafts. Some produce nuanced reflections; others hand in work too dependent on the tool. In discussion, you model critical use: showing how to question AI's assumptions. The room fills with excited and uncertain energy. One student says, ""I've never thought so much about how I write."" Another links the work to preparing for peacebuilding dialogues abroad.",Transparent AI Integration — Best Practices for Citing AI,https://medium.com/@christynaserrano/building-transparency-in-ai-best-practices-for-citing-and-using-ai-in-higher-education-5288c458f353,Guide for transparent AI use and critical engagement.,Education Development Trust — Metacognition,https://www.edt.org/insights-from-our-work/metacognition-why-teaching-students-to-think-about-their-learning-matters-more-than-ever,Teaching metacognitive strategies for deeper learning.,UNESCO (2023) — GenAI in Education,https://unesdoc.unesco.org/ark:/48223/pf0000386693,Human-centered pedagogy.,,,,,,,Deepen design (rubrics & checkpoints),E3A,Invite faculty feedback (switch to Collaborative),C3A,,,,,,
E3A,The Assessment Challenge,embracing,AI‑Embracing,"Grading portfolios takes longer than expected. You realize authentic work requires new evaluation criteria, and growth, insight, and self-reflection now matter more than grammar or format. A peer asks, ""Isn't this subjective?"" You reply, ""Maybe, but so is learning."" By mid-semester, students begin referencing AI critically in discussions about ethics, bias, and creativity, connecting the seminar to Soka's vision of graduates leading contributive lives.",OECD — AI and Education and Skills,https://www.oecd.org/en/topics/artificial-intelligence-and-education-and-skills.html,Policy analysis on how AI shifts skills demand and assessment priorities.,EDUCAUSE Review (2025) — Beyond Tool or Threat,https://er.educause.edu/articles/2025/9/beyond-tool-or-threat-genai-and-the-challenge-it-poses-to-higher-education,Reimagining purpose and values in authentic assessment.,,,,,,,,,,Partner with the Pacific Basin Research Center,E3B,Simplify (switch to Balanced),B3A,,,,,,
E4,Outcome: Innovation and Depth,embracing,AI‑Embracing,"At semester's end, students present reflective projects titled ""What I Learned From My AI Mistakes."" Their work is messy, honest, and profound. Some still rely too much on the tool, but most articulate a clearer sense of authorship. You feel both exhausted and inspired. When you share at a Writing Center AI workshop, a colleague says, ""This feels like the future of Soka education: humanistic, creative, responsible."" Another confides later on that he doesn't have the time and hasn't gotten the training to repeat your experiment in his course.",EDUCAUSE Review (2025) — A More Human University,https://er.educause.edu/articles/2025/10/a-more-human-university-the-role-of-ai-in-learning,"Scaling meaningful, individualized learning experiences with AI.",EDUCAUSE Review (2025) — Ethics Is the Edge,https://er.educause.edu/articles/2025/6/ethics-is-the-edge-the-future-of-ai-in-higher-education,Ethical imperative for governance aligning AI with academic values.,,,,,,,,,,Meta‑Reflection,R1,Restart,D1,,,,,,
C1,Opening the Dialogue,collaborative,Collaborative,"You begin the semester with an open question: ""How should we, as a learning community, engage with AI?"" Instead of dictating rules, you invite students to share experiences — how AI has helped, hindered, or confused them. Together, the class drafts an ""AI Reflection Charter"" that commits to transparency, curiosity, and mutual respect, explicitly linking the work to SUA's mission of fostering leaders of pacifism and humanism.",EDUCAUSE Review (2025) — In the Room Where It Happens,https://er.educause.edu/articles/2025/5/in-the-room-where-it-happens-generative-ai-policy-creation-in-higher-education,Creating room for diverse perspectives in AI policy creation.,UNESCO (2023) — Guidance for GenAI,https://unesdoc.unesco.org/ark:/48223/pf0000386693,Human-centered vision for GenAI in education.,,,,,,,,,,Facilitate collective inquiry,C2A,Formalize limits (switch to Balanced),B2A,,,,,,
C2A,Shared Experimentation,collaborative,Collaborative,"Each week, students log one AI interaction — a prompt, a response, and their reflection on it. In class, small groups analyze where the tool enhanced or hindered their thinking. Surprisingly, students begin to critique AI's biases and limits more deeply than expected. You frame the practice as nurturing leaders of culture in the community who can steward technology with care.",Campbell University — AI in Higher Education Survey,https://sites.campbell.edu/academictechnology/2025/03/06/ai-in-higher-education-a-summary-of-recent-surveys-of-students-and-faculty/,Student-faculty collaboration on ethical AI guidelines.,EDUCAUSE Review (2025) — A More Human University,https://er.educause.edu/articles/2025/10/a-more-human-university-the-role-of-ai-in-learning,"Scaling deep, individualized, metacognitive learning with AI.",Soka Institute for Global Solutions,https://sigs.soka.edu/,SIGS projects for global cooperation embodying collaborative spirit.,,,,,,,Co-design community storytelling guidelines,C2B,Standardize (switch to Balanced),B3A,,,,,,
C3A,AI in the Classroom Workshop,collaborative,Collaborative,"Colleagues hear about your approach and invite you to a workshop on AI in writing and pedagogy. You share anonymized student reflections, both breakthroughs and confusions. Another professor worries about workload: ""How do we grade process fairly?"" You agree: collaboration requires new assessment norms. The group plans a small cross-course study grounded in SUA's values. You worry that this will require 10 hours of work, time you don't have, but it feels necessary.",Harvard GSE — AI Can Add to Learning,https://www.gse.harvard.edu/ideas/news/25/04/ai-can-add-not-just-subtract-learning,"AI adding value to learning, ideal for faculty discussion.",EDUCAUSE Review (2024) — Exploring Opportunities and Challenges,https://er.educause.edu/articles/2024/2/exploring-the-opportunities-and-challenges-with-generative-ai,Institutional imperative for stakeholder conversations on AI policy.,,,,,,,,,,Keep co‑learning focus,C4,Move toward formal policy (switch to Balanced),B4,,,,,,
C4,"Outcome: Dialogue Becomes the Curriculum, But is it Sustainable?",collaborative,Collaborative,"By semester's end, your class talks about AI as easily as about literature or ethics. Students report feeling trusted, and more responsible as a result. Faculty peers adapt your reflective logging model. The project closes with a sense of optimism, not that you've solved AI in education, but that you've learned to face it together. Still, you know not every course or instructor has the time for this level of mentoring and you worry that the technology is changing much faster than professors and the university can adapt.",EDUCAUSE Review (2025) — Ethics Is the Edge,https://er.educause.edu/articles/2025/6/ethics-is-the-edge-the-future-of-ai-in-higher-education,Pragmatic ethical framework for integrating AI through dialogue.,OECD — AI and Education and Skills,https://www.oecd.org/en/topics/artificial-intelligence-and-education-and-skills.html,"Analysis of AI impact on learning and skills, linking collaboration to equity.",,,,,,,,,,Meta‑Reflection,R1,Restart,D1,,,,,,
R1,Teaching for Value Creation in the AI Era,shared,Meta‑Reflection,"As you moved through the pathways, you balanced integrity, creativity, equity, and trust under real constraints. Summarize what you protected, what you risked, and what you learned. Then, connect those insights to SUA's mission of humanistic, contributive education. What is one concrete next step you will take to integrate these lessons into your next seminar's design, assessment, or dialogue? Thank you for participating in Soka AI Pathways Explorer!",SUA Mission and Values,https://www.soka.edu/about/suas-heritage/mission-and-values,Anchor reflections in founding principles.,,,,,,,,,,,,,Restart from the Dilemma,D1,,,,,,,,
B2B,Human Rights Case Workshop,balanced,Balanced / Literacy,"You anchor the seminar in a human-rights case study drawn from the Pacific Basin. Teams map how AI could support research, storytelling, or advocacy, documenting risks to dignity and accuracy. Students connect decisions to SUA's founding principle of upholding human rights. Debate runs hot when one team argues AI translation could amplify marginalized voices faster.",Pacific Basin Research Center,https://www.soka.edu/academics/research/pacific-basin-research-center/about,PBRC's mission for humanistic development and human rights in Asia-Pacific.,UNESCO (2023) — Guidance for GenAI in Education,https://unesdoc.unesco.org/ark:/48223/pf0000386693,Ethical guardrails for justice-focused work.,,,,,,,,,,Translate insights into shared policy,B3A,Shift to collaborative co-design,C2A,,,,,,
E3B,Community Partnership Dilemma,embracing,AI-Embracing,A Student Fellow from the Pacific Basin Research Center asks if your seminar could help her co-create narratives for a justice campaign. Students debate whether to use AI for rapid translation and story drafts. Some argue it could amplify marginalized voices; others worry about accuracy and consent. You remind them of the need to balance efficiency with respect and accuracy.,Pacific Basin Research Center,https://www.soka.edu/academics/research/pacific-basin-research-center/about,"PBRC's mission for peaceful, humanistic development of Asia-Pacific region.",USIP — Peacebuilding Toolkits,https://www.usip.org/public-education/educators/classroom-resources,Framework for incorporating conflict management and peacebuilding concepts.,UNESCO — Guidance for GenAI,https://www.unesco.org/en/articles/guidance-generative-ai-education-and-research,Protecting cultural and linguistic diversity when using GenAI.,,,,,,,Document lessons for campus colleagues,E4,Invite collaborative reflection circle,C3A,,,,,,
C2B,Community Storytelling Lab,collaborative,Collaborative,"Your seminar partners with the Writing Center to host a community storytelling lab. Student teams craft guidelines for using AI to support oral histories from local activists. They debate whether AI summaries honor or flatten lived experience, anchoring decisions in SUA's principle of educating leaders of culture in the community.",Helping Writers Become Authors — Intentional Storytelling in the AI Era,https://www.helpingwritersbecomeauthors.com/why-intentional-storytelling-matters-in-an-era-of-ai-and-algorithm-driven-content/,How AI risks losing an authentic voice in storytelling.,The Guardian (2025) — AI as a Tool to Sharpen Storytelling,https://www.theguardian.com/technology/2025/mar/31/ai-is-a-tool-that-can-sharpen-storytelling,"AI can improve storytelling, but only if used well.",University Writing Center,https://catalog.soka.edu/university-writing-center,Writing support for ethical narrative practices.,,,,,,,Share findings with faculty peers,C3A,Document practices for policy work,B3A,,,,,,
